17, 1,5.380413,3.117967,0,3.495041, 0.3
17, 2,2.823533,0.3025808,3.495041,0.7227395, 0.33
17, 3,1.601297,1.427049,0.7227395,1.45609, 0.2805
17, 4,3.249692,0.0874939,1.45609,0.614527, 0.30855
17, 5,4.718914,0.7787905,0.614527,1.435478, 0.2622675
17, 6,6.521294,6.239478,1.435478,6.286448, 0.2884943
17, 7,11.26082,6.812736,6.286448,7.554084, 0.3173437
17, 8,12.65966,3.897132,7.554084,5.357553, 0.3490781
17, 9,7.268584,3.337773,5.357553,3.992908, 0.2967164
17, 10,13.73705,5.983481,3.992908,7.275743, 0.2522089
17, 11,10.48053,4.252746,7.275743,5.290709, 0.2774298
17, 12,16.71453,4.415868,5.290709,6.465646, 0.2358154
17, 13,14.71455,4.258925,6.465646,6.00153, 0.2593969
17, 14,16.88765,4.829953,6.00153,6.839569, 0.2204874
17, 15,18.99246,6.074233,6.839569,8.227271, 0.2425361
17, 16,16.04595,2.817094,8.227271,5.021903, 0.2667897
17, 17,26.48158,6.808572,5.021903,10.08741, 0.2267713
17, 18,9.922071,4.41281,10.08741,5.33102, 0.2494484
17, 19,15.61908,7.473145,5.33102,8.830801, 0.2120312
17, 20,20.74193,5.762401,8.830801,8.258989, 0.2332343
17, 21,28.65693,7.216222,8.258989,10.78967, 0.1982491
18, 1,4.477121,0.9552021,0,1.542189, 0.3
18, 2,9.348661,0.7516632,1.542189,2.184496, 0.33
18, 3,9.733266,1.603519,2.184496,2.958477, 0.363
18, 4,12.12639,0.01412678,2.958477,2.032837, 0.3993
18, 5,15.27501,1.758068,2.032837,4.010892, 0.339405
18, 6,10.44778,3.54537,4.010892,4.695771, 0.3733456
18, 7,5.158227,0.6425323,4.695771,1.395148, 0.4106801
18, 8,15.65445,2.142839,1.395148,4.394774, 0.3490781
18, 9,36.7999,6.873365,4.394774,11.86112, 0.3839859
18, 10,90.6881,10.95781,11.86112,24.24619, 0.4223845
18, 11,7.37844,2.593063,24.24619,3.390626, 0.464623
18, 12,5.132421,2.803034,3.390626,3.191265, 0.3949296
18, 13,7.169899,2.228743,3.191265,3.052269, 0.3356901
18, 14,8.856593,2.552837,3.052269,3.603463, 0.2853366
