0,-1,4,5,7
0,0,4,5,5
0,1,3,1,5
0,2,3,4,4
0,3,3,4,3
0,4,4,4,4
0,5,4,2,4
1,-1,
1,0,
1,1,
2,-1,1,1,1
2,0,1,1,1
2,1,1,1,1
2,2,1,1,1
2,3,1,1,1
2,4,1,1,1
2,5,1,1,1
2,6,1,1,1
2,7,1,1,1
2,8,1,1,1
2,9,1,1,1
2,10,1,1,1
2,11,1,1,1
2,12,1,1,1
2,13,1,1,1
2,14,3,1,1
2,15,1,1,1
2,16,1,1,1
2,17,1,1,1
2,18,1,1,1
2,19,1,1,1
2,20,1,1,1
2,21,1,1,1
2,22,1,1,1
2,23,1,1,1
2,24,1,1,1
2,25,1,1,1
2,26,1,1,1
2,27,1,1,1
2,28,1,1,1
2,29,1,1,1
3,-1,
3,0,
3,1,
4,-1,
4,0,
4,1,
5,-1,
5,0,
5,1,
5,2,
5,3,
6,-1,2,5,3
6,0,2,6,2
6,1,2,6,1
6,2,2,5,2
7,-1,3,4,5
7,0,2,6,2
7,1,2,1,1
7,2,1,3,4
7,3,1,2,2
7,4,1,1,6
7,5,1,1,1
7,6,1,2,6
7,7,1,2,7
7,8,2,3,7
7,9,1,2,2
7,10,1,2,2
7,11,4,3,7
7,12,1,4,7
7,13,1,5,7
7,14,3,5,7
7,15,1,6,7
7,16,2,6,7
7,17,1,5,7
7,18,1,2,6
7,19,3,2,6
7,20,1,6,6
7,21,1,2,5
7,22,1,3,6
7,23,1,2,6
7,24,2,2,6
7,25,1,2,7
7,26,1,5,7
7,27,1,2,6
7,28,1,2,6
7,29,1,4,7
8,-1,
8,0,
8,1,
9,-1,1,2,1
9,0,2,2,1
9,1,1,1,1
10,-1,
10,0,
10,1,
10,2,
10,3,
11,-1,1,1,1
11,0,1,1,1
11,1,2,2,1
11,2,2,2,1
11,3,1,1,1
11,4,1,1,1
11,5,1,2,1
11,6,1,2,1
11,7,2,2,1
11,8,2,2,1
11,9,1,1,1
11,10,1,1,1
11,11,1,2,1
11,12,1,2,1
11,13,1,2,2
11,14,3,2,3
11,15,2,2,3
11,16,1,2,2
11,17,1,3,2
11,18,1,2,1
11,19,1,2,1
11,20,1,2,2
11,21,5,3,2
11,22,2,3,2
11,23,2,2,3
11,24,1,2,3
11,25,1,2,2
11,26,3,2,3
11,27,2,2,2
11,28,1,2,1
11,29,1,2,1
12,-1,
12,0,
12,-1,
12,0,
13,-1,
13,0,
13,1,
13,2,
13,-1,
13,0,
13,1,
13,2,
13,3,
14,-1,1,4,1
14,0,1,3,2
14,1,1,4,3
14,2,4,2,3
14,3,2,3,2
14,4,1,2,1
14,5,2,2,1
14,6,1,2,1
14,7,1,2,4
14,8,1,2,5
14,9,1,3,5
14,10,1,4,6
14,11,3,4,6
14,12,2,4,4
14,13,2,3,2
14,14,3,3,3
14,15,2,5,3
14,16,2,4,3
14,17,4,4,3
14,18,2,4,4
14,19,2,3,3
14,20,1,4,3
14,21,2,3,2
14,22,2,4,4
14,23,3,3,2
14,24,3,4,2
14,25,3,4,3
14,26,2,4,3
14,27,3,5,3
14,28,3,4,3
14,29,3,4,3
15,-1,
15,0,
16,-1,
16,0,
17,-1,
17,0,
17,1,
17,2,
17,3,
18,-1,3,3,2
18,0,1,2,3
18,1,4,4,5
18,2,4,4,6
18,3,4,4,4
18,4,4,3,4
18,5,5,4,5
18,6,5,4,5
18,7,4,4,3
18,8,5,4,5
18,9,6,5,6
18,10,5,5,5
18,11,5,4,4
18,12,5,5,5
18,13,5,5,5
18,14,5,4,4
18,15,4,5,5
18,16,4,4,4
18,17,4,5,4
18,18,4,4,3
18,19,4,3,4
18,20,4,3,4
18,21,5,4,5
18,22,5,4,4
18,23,5,5,3
18,24,5,4,4
18,25,4,4,4
18,26,5,4,5
18,27,4,4,3
18,28,4,5,4
18,29,4,4,4
19,-1,
19,0,
19,-1,
19,0,
21,-1,
21,0,
21,1,
21,2,
21,3,
22,-1,3,2,1
22,0,4,2,1
22,1,3,4,3
22,2,3,3,4
22,3,3,4,3
22,4,3,4,3
22,5,2,3,2
22,6,1,2,2
22,7,3,3,3
22,8,1,2,1
22,9,3,3,4
22,10,3,2,2
22,11,2,2,1
22,12,5,2,3
22,13,2,2,3
